Area,Mean,Min,Max,ID,Diameter (mm),Comments,Date measurement (mm/dd/yy),was open at punching?
3.33,121.257,68,147,E2_L,2.06,Open,12/31/24,yes
0.13,120.828,89,170,M2_R,0.41,,12/31/24,
1.14,124.878,74,190,M2_L,1.20,,12/31/24,
3.44,161.959,90,188,E6_L,2.09,,12/31/24,
1.42,112.895,50,191,D1_R,1.34,,12/31/24,yes
3.99,67.876,27,196,D1_L,2.25,Open,12/31/24,
3.83,173.272,83,195,E7_L,2.21,Open,12/31/24,
4.06,93.158,40,153,D2_R,2.27,,12/31/24,
4.18,95.835,46,221,D2_L,2.31,Open,12/31/24,
2.21,122.896,80,184,E8_L,1.68,,1/14/25,
1.20,108.77,56,175,D6_R,1.24,,12/31/24,
2.36,107.54,50,178,D6_L,1.73,,12/31/24,
3.70,167.033,87,198,E9_L,2.17,,12/31/24,
2.01,113.439,64,209,D7_R,1.60,,12/31/24,
2.45,106.93,64,175,D7_L,1.77,,12/31/24,
2.45,149.609,99,195,E10_L,1.77,,12/31/24,
1.43,112.518,61,158,D8_R,1.35,,12/31/24,
2.44,111.05,54,173,D8_L,1.76,,12/31/24,
2.69,152.476,81,189,E11_L,1.85,,12/31/24,
2.78,132.895,65,174,C7_R,1.88,,12/31/24,
1.46,154.758,94,195,C7_L,1.36,,12/31/24,
1.77,130.339,71,189,E20_L,1.50,,12/31/24,
2.64,76.953,35,229,M3_R,1.83,,12/31/24,
2.36,112.143,72,220,M3_L,1.73,Open,12/31/24,
2.99,141.246,62,171,E21_L,1.95,,12/31/24,
3.05,94.28,49,200,M5_R,1.97,Open,12/31/24,
0.00,0.00,0.00,0.00,M5_L,0.00,Totally closed,12/31/24,
2.14,152.812,92,194,E22_L,1.65,,12/31/24,
1.43,93.268,49,188,M6_R,1.35,,12/31/24,
1.35,105.932,52,213,M6_L,1.31,,12/31/24,
1.80,142.718,80,180,E24_L,1.51,,12/31/24,
1.50,115.744,52,172,C13_R,1.38,Open,12/31/24,
2.12,134.033,81,169,C13_L,1.64,,1/14/25,
1.80,126.973,75,159,E25_L,1.51,,1/8/25,
2.08,137.582,48,193,C14_R,1.63,Open,1/8/25,
2.16,120.381,66,166,C14_L,1.66,,1/8/25,
2.08,138.942,91,178,E28_L,1.63,,1/8/25,
1.64,126.651,65,185,C16_R,1.44,Open,1/8/25,
1.42,112.447,69,150,C16_L,1.34,,1/8/25,
5.43,181.205,89,207,E29_L,2.63,Open,1/8/25,yes
2.68,130.309,56,187,C17_R,1.85,Open,1/8/25,
0.64,121.363,85,165,C17_L,0.90,,1/8/25,
2.77,151.314,84,192,E30_L,1.88,,1/8/25,
2.79,97.926,47,191,D14_R,1.88,,1/8/25,
3.83,94.105,52,210,D14_L,2.21,Open,1/8/25,
1.43,160.582,98,191,E31_L,1.35,,1/8/25,
2.33,84.877,43,210,D15_R,1.72,,1/8/25,
2.00,86.904,41,217,D15_L,1.60,,1/8/25,
4.33,131.117,68,154,E32_L,2.35,Open,1/8/25,
1.08,104.336,69,204,M17_R,1.17,,1/8/25,
1.72,86.79,44,170,M17_L,1.48,,1/8/25,
2.98,121.465,65,167,E33_L,1.95,,1/14/25,
1.28,91.297,49,207,M18_R,1.28,,1/8/25,
1.76,106.271,43,198,M18_L,1.50,,1/8/25,
3.63,163.883,85,201,E34_L,2.15,Open,1/8/25,yes
1.56,86.749,40,184,M19_R,1.41,,1/8/25,
1.48,80.498,50,193,M19_L,1.37,,1/8/25,
1.56,151.49,72,192,E35_L,1.41,,1/8/25,
0.76,84.067,40,155,M20_R,0.98,,1/8/25,
1.40,69.439,27,172,M20_L,1.33,Open,1/8/25,
1.99,152.095,88,183,E39_L,1.59,,1/8/25,
0.36,75.416,37,141,M21_R,0.68,,1/8/25,
1.02,97.588,47,152,M21_L,1.14,,1/8/25,
2.00,164.972,78,188,E40_L,1.59,Open,1/8/25,yes
0.74,93.217,50,178,M22_R,0.97,,1/8/25,
0.92,107.924,57,204,M22_L,1.08,,1/8/25,
2.18,154.917,86,183,E41_L,1.67,,1/8/25,
1.83,151.04,93,187,C18_R,1.52,,1/8/25,
0.69,115.665,81,168,C18_L,0.94,,1/8/25,
1.83,133.885,93,166,E44_L,1.53,,1/8/25,
2.29,138.052,86,177,B14_R,1.71,,1/8/25,
1.87,145.21,78,199,B14_L,1.54,,1/8/25,
1.96,132.752,81,177,E49_L,1.58,,1/8/25,
1.85,157.596,105,210,B15_R,1.53,,1/8/25,
2.55,146.27,79,182,B15_L,1.80,,1/8/25,
1.41,164.544,107,184,E50_L,1.34,,1/8/25,
1.82,132.142,81,171,B16_R,1.52,,1/8/25,
2.87,141.72,91,177,B16_L,1.91,Open,1/8/25,
1.93,150.231,84,188,E56_L,1.57,,1/8/25,
4.14,159.366,81,191,B17_R,2.30,,1/8/25,
3.10,134.632,63,160,B17_L,1.99,,1/8/25,
2.84,134.594,67,174,E57_L,1.90,,1/8/25,
2.59,130.421,68,178,B18_R,1.81,,1/8/25,
2.83,119.438,67,171,B18_L,1.90,,1/8/25,
2.29,139.465,94,167,E58_L,1.71,,1/8/25,
2.40,144.216,93,184,B19_R,1.75,,1/8/25,
3.77,147.902,84,186,B19_L,2.19,,1/8/25,
1.87,162.096,83,194,E59_L,1.54,,1/9/25,
1.85,151.996,83,198,B24_R,1.54,,1/9/25,
2.58,156.938,93,188,B24_L,1.81,,1/9/25,
3.20,146.979,64,180,E61_L,2.02,,1/9/25,
1.63,141.444,81,195,B25_R,1.44,,1/9/25,
2.44,143.072,77,181,B25_L,1.76,,1/9/25,
1.72,131.095,67,163,E73_L,1.48,Open,1/9/25,yes
2.50,153.939,88,184,B27_R,1.78,,1/9/25,
2.29,151.123,74,180,B27_L,1.71,,1/9/25,
2.67,155.75,91,177,E74_L,1.85,,1/9/25,
2.36,164.802,105,188,B28_R,1.73,,1/9/25,
2.40,149.308,88,178,B28_L,1.75,,1/9/25,
2.83,162.722,97,192,E75_L,1.90,,1/9/25,
2.42,164.368,98,194,B29_R,1.76,,1/9/25,
2.19,163.735,89,189,B29_L,1.67,,1/9/25,
3.72,153.2,75,177,E76_L,2.18,Open,1/9/25,yes
2.41,147.603,83,171,B30_R,1.75,,1/9/25,
